"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","VEG_annual_mean","VEG_annual_min","VEG_annual_max","VEG_annual_AUC","VEG_annual_5th_prct","VEG_annual_sd","VEG_annual_max_5th_prct","VEG_annual_AUC_5th_prct","VEG_growing_max_date","VEG_growing_mean","VEG_growing_min","VEG_growing_max","VEG_growing_AUC","VEG_growing_5th_prct","VEG_growing_max_5th_prct","VEG_growing_AUC_5th_prct","VEG_growing_AUC_v2","VEG_growing_AUC_leading","VEG_growing_AUC_trailing","VEG_growing_AUC_diff_mn","VEG_growing_AUC_diff_90th","VEG_all_growing_5th_prct","VEG_growing_sd","Whe_Yeild_kgha","yield_tn_ha_dual"
"528",36,2003,"India","Punjab","MUKTSAR","Rabi",197,814000,4.13,329,129,165,4021.94419923506,1478.9947421638,6580.52072800809,125327756212.139,1498.97736097068,1676.04474257551,5151.0393528817,22153996016.8938,65,4132.69425498667,1598.75834175935,6930.37755308392,88730.1910121058,1655.69239635996,6596.05143579373,51853.228877324,88736.3889787664,62312.4306133447,26330.6881863937,-1029.78111551686,-12962.2384805335,1615.65770475228,1784.82413706672,4130,4.13
"529",36,2004,"India","Punjab","MUKTSAR","Rabi",200,799000,4,329,137,174,3993.95200685805,1567.82244691608,6930.37755308392,124391725618.524,1590.64591506572,1596.83651717527,5151.0393528817,22153996016.8938,65,4376.86692750692,1609.09019211325,7351.93993933266,98593.0652333984,1609.67472194135,6596.05143579373,51853.228877324,98595.7082912032,68841.7993703353,29670.1991807994,8833.09310577576,-3099.36425924086,1615.65770475228,2139.04842048535,3996,3.996
"530",36,2005,"India","Punjab","MUKTSAR","Rabi",200,787000,3.94,329,137,173,4056.40320816324,1561.06107178969,7351.93993933266,126254521788.995,1609.85008088979,1847.33544060716,5151.0393528817,22153996016.8938,49,3946.84659955159,1456.08736097068,7043.82406471183,88946.9230705366,1477.01880687563,6596.05143579373,51853.228877324,88935.5233569262,49686.7003309496,39248.960700624,-813.049057086071,-12745.5064221027,1615.65770475228,2021.22213507716,3636,3.636
"531",36,2006,"India","Punjab","MUKTSAR","Rabi",202,854000,4.23,329,137,173,4175.34294993817,1456.08736097068,7043.82406471183,129806233621.201,1563.12547017189,1776.73262044854,5151.0393528817,22153996016.8938,65,4413.22380436333,1578.06370070779,7367.95591506572,99296.1901339814,1675.77593528817,6596.05143579373,51853.228877324,99291.7738906497,66757.7630604693,32532.899002897,9536.21800635879,-2396.23935865783,1615.65770475228,2052.5171794838,4228,4.228
"532",36,2007,"India","Punjab","MUKTSAR","Rabi",202,963000,4.77,337,137,165,4377.01089685819,1578.06370070779,7367.95591506572,136727099825.924,1651.0926289181,1873.03200824865,5151.0393528817,22153996016.8938,57,4222.83047155069,1580.00667340748,6975.76825075834,90917.372405905,1613.59951466127,6596.05143579373,51853.228877324,90865.6304347826,52300.0162306763,38625.1051239798,1157.40027828231,-10775.0570867343,1615.65770475228,1990.52066491091,4768,4.768
"533",36,2008,"India","Punjab","MUKTSAR","Rabi",202,977000,4.84,321,137,182,4251.92867505996,1380.25601617796,6975.76825075834,132264897911.556,1598.11899898888,1822.5504889672,5151.0393528817,22153996016.8938,33,4317.09394169194,1610.5704752275,7481.13973710819,101631.431069761,1619.57479271992,6596.05143579373,51853.228877324,101641.61445905,46023.2378270488,55542.311969926,11871.4589421383,-60.9984228783433,1615.65770475228,2182.36462694482,4835,4.835
"534",36,2009,"India","Punjab","MUKTSAR","Rabi",205,950000,4.63,329,137,173,4144.5352318869,1610.5704752275,7481.13973710819,128701227359.131,1669.3178867543,1900.44068961588,5151.0393528817,22153996016.8938,65,4313.37851318692,1550.2026289181,7428.67927199191,97382.0133587855,1552.68665318504,6596.05143579373,51853.228877324,97341.2559549675,68587.1130651003,28707.3218359791,7622.04123116286,-4310.41613385375,1615.65770475228,2137.94402731122,4633,4.633
"535",36,2010,"India","Punjab","MUKTSAR","Rabi",192,957000,4.98,337,145,173,4495.33367851733,1550.2026289181,7428.67927199191,139491355803.538,1559.15559150657,1981.16734483596,5151.0393528817,22153996016.8938,65,4457.2750692399,1665.30697674419,7549.21395348837,100360.489202663,1666.48614762386,6596.05143579373,51853.228877324,100348.723559151,64344.5438054416,35936.1639114759,10600.51707504,-1331.94028997663,1615.65770475228,2147.66424803156,4985,4.985
"536",36,NA,"India","Punjab","MUKTSAR",NA,NA,NA,NA,353,145,157,4668.5218410417,1665.30697674419,7757.31708796764,145977411630.159,1715.90346814965,1946.1436802115,5151.0393528817,22153996016.8938,65,4074.69720256151,1592.13488372093,6891.13488372093,83278.6625439371,1609.53330637007,6596.05143579373,51853.228877324,83286.1418604651,48253.7879890295,34924.0562988858,-6481.30958368558,-18413.7669487022,1615.65770475228,1830.304967515,NA,NA
"537",36,2012,"India","Punjab","MUKTSAR","Rabi",209,996000,4.77,337,145,174,4277.82494302987,1592.13488372093,7417.58483316481,133635110524.311,1649.8943983822,1803.71533160528,5151.0393528817,22153996016.8938,65,4380.39906800897,1684.67522750253,7769.52376137513,98416.7275178152,1704.32912032356,6596.05143579373,51853.228877324,98420.0149646107,61834.7708189272,36507.848011431,8656.75539019254,-3275.70197482407,1615.65770475228,2173.38131719722,4766,4.766
